TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,Specifier,ATTRIBUTES
ALIAS,,BiasFcvPosFb,%,,AiEu[51],AIEU[51],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,DaWtrLcvPosFb,%,,AiEu[43],AIEU[43],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,FddPosFb,%,,AiEu[46],AIEU[46],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,FdfSpdFb,%,,AiEu[50],AIEU[50],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,Fdw1SpdFb,%,,AiEu[48],AIEU[48],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,Fdw2SpdFb,%,,AiEu[49],AIEU[49],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,FdwFcvPosFb,%,,AiEu[55],AIEU[55],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,GasFcvPosFb,%,,AiEu[52],AIEU[52],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,IbdPosFb,%,,AiEu[44],AIEU[44],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,IvdPosFb,%,,AiEu[45],AIEU[45],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,OilFcvPosFb,%,,AiEu[53],AIEU[53],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,OutDmpPosFb,%,,AiEu[54],AIEU[54],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,RemDmd,%,,AiEu[39],AIEU[39],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,WbdPosFb,%,,AiEu[47],AIEU[47],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,FgOx,% ox,,AiEu[28],AIEU[28],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,BmsSel2Oil,2 oil select Hmi DI,,BmsSetBits[0].4,BMSSETBITS[0].4,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,Bms2OilAct,2 oil selected,,BmsStatBits[42].5,BMSSTATBITS[42].5,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsSel6Oil,6 oil select,,BmsSetBits[0].5,BMSSETBITS[0].5,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,Bms6OilAct,6 oil selected,,BmsStatBits[42].6,BMSSTATBITS[42].6,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,AirHtrInTmpPct,Air heater inlet temperature (%),,AiPct[37],AIPCT[37],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,AirHtrInTmpAct,Air heater inlet temperature active,,StatBits[72].5,STATBITS[72].5,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,AirHtrInTmpMax,Air heater inlet temperature max (deg F),,AiSclMax[37],AISCLMAX[37],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,AirHtrInTmpMin,Air heater inlet temperature min (deg F),,AiSclMin[37],AISCLMIN[37],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,AirHtrInTmpRng,Air heater inlet temperature range (deg F),,AiRng[37],AIRNG[37],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,AphTcvAct,Air Preheat Tcv Active,,StatBits[76].6,STATBITS[76].6,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiAlarmSilPb,Alarm silence DI,,BmsStatBits[22].13,BMSSTATBITS[22].13,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsAlarmSil,Alarm silence Hmi DI,,BmsSetBits[1].3,BMSSETBITS[1].3,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoAtmVlv,Atomizing media valve DO,,BmsStatBits[31].2,BMSSTATBITS[31].2,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,AtmStmPcvPosAct,Atomizing steam PCV position active,,StatBits[76].1,STATBITS[76].1,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoAudAl,Audible alarm DO,,BmsStatBits[30].1,BMSSTATBITS[30].1,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiAlwco,Auxiliary low water cutout DI,,BmsStatBits[20].2,BMSSTATBITS[20].2,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,B7ChemCondPct,B7 chemical conductivity (%),,AiPct[78],AIPCT[78],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,B7AirPrsPct,B7 compressed air pressure (%),,AiPct[76],AIPCT[76],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,DaWtrLcvPosFbPct,B7 Condensate return FCV feedback (%),,AiPct[43],AIPCT[43],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,DaWtrLcvPosFbAct,B7 Condensate return FCV feedback active,,StatBits[72].11,STATBITS[72].11,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,DaWtrLcvPosFbMax,B7 Condensate return FCV feedback max (%),,AiSclMax[43],AISCLMAX[43],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,DaWtrLcvPosFbMin,B7 Condensate return FCV feedback min (%),,AiSclMin[43],AISCLMIN[43],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,DaWtrLcvPosFbRng,B7 Condensate return FCV feedback range (%),,AiRng[43],AIRNG[43],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,B7CondRetFlwPct,B7 Condensate return flow (%),,AiPct[74],AIPCT[74],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,B7DeminFlwPct,B7 Demineralized water flow (%),,AiPct[75],AIPCT[75],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,B7WtrPrsPct,B7 potable water pressure (%),,AiPct[77],AIPCT[77],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,BiasFcvPosFbAct,Bias gas fcv feedback active,,StatBits[73].3,STATBITS[73].3,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BiasFcvPosAct,Bias gas FCV position active,,StatBits[75].15,STATBITS[75].15,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BiasFcvPosFbPct,Biasing Valve feedback (%),,AiPct[51],AIPCT[51],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,BiasFcvPosFbMax,Biasing Valve feedback max (%),,AiSclMax[51],AISCLMAX[51],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,BiasFcvPosFbMin,Biasing Valve feedback min (%),,AiSclMin[51],AISCLMIN[51],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,BiasFcvPosFbRng,Biasing Valve feedback range (%),,AiRng[51],AIRNG[51],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,BlrExPrsPct,Boiler exhaust pressure (%),,AiPct[22],AIPCT[22],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,BlrExPrsAct,Boiler exhaust pressure active,,StatBits[71].6,STATBITS[71].6,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BlrExPrsMax,Boiler exhaust pressure max (in wc),,AiSclMax[22],AISCLMAX[22],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,BlrExPrsMin,Boiler exhaust pressure min (in wc),,AiSclMin[22],AISCLMIN[22],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,BlrExPrsRng,Boiler exhaust pressure range (in wc),,AiRng[22],AIRNG[22],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,AoOutDmpPos,Boiler outlet damper position (%),,Ao[11],AO[11],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,OutDmpPosAct,Boiler outlet damper position active,,StatBits[75].11,STATBITS[75].11,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,DiLimBlrRate,Boiler Rate Limited (from BMS),,StatBits[31].1,STATBITS[31].1,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BrnRegDpPct,Burner differential pressure (%),,AiPct[12],AIPCT[12],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,BrnRegDpAct,Burner differential pressure active,,StatBits[70].12,STATBITS[70].12,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BrnRegDpMax,Burner differential pressure max (in wc),,AiSclMax[12],AISCLMAX[12],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,BrnRegDpMin,Burner differential pressure min (in wc),,AiSclMin[12],AISCLMIN[12],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,BrnRegDpRng,Burner differential pressure range (in wc),,AiRng[12],AIRNG[12],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,BmsDoBrnFiring,Burner firing in progress DO,,BmsStatBits[30].11,BMSSTATBITS[30].11,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsBrnIdle,Burner idle,,BmsStatBits[44].5,BMSSTATBITS[44].5,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsRecycleAct,Burner idle in recycle mode,,BmsStatBits[40].6,BMSSTATBITS[40].6,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsBrnLim,Burner limits,,BmsStatBits[42].15,BMSSTATBITS[42].15,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsBrnLimGrp1,Burner limits group 1,,BmsStatBits[42].13,BMSSTATBITS[42].13,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsBrnLimGrp2,Burner limits group 2,,BmsStatBits[42].14,BMSSTATBITS[42].14,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsBrnOffAct,Burner off selected,,BmsStatBits[41].14,BMSSTATBITS[41].14,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsBrnReady,Burner ready,,BmsStatBits[46].3,BMSSTATBITS[46].3,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsBrnRun,Burner run,,BmsStatBits[46].8,BMSSTATBITS[46].8,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoTwdStrobe,Burner run (watchdog timer strobe,,BmsStatBits[30].4,BMSSTATBITS[30].4,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsBrnStart,Burner start,,BmsStatBits[43].15,BMSSTATBITS[43].15,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiStartFb,Burner start control feedback,,BmsStatBits[23].0,BMSSTATBITS[23].0,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoBrnStart,Burner start DO,,BmsStatBits[30].3,BMSSTATBITS[30].3,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsSelBrnStart,Burner start Hmi DI,,BmsSetBits[0].12,BMSSETBITS[0].12,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsSelAccept,Burner start/stop accept Hmi DI,,BmsSetBits[0].14,BMSSETBITS[0].14,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsSelCancel,Burner start/stop cancel Hmi DI,,BmsSetBits[0].15,BMSSETBITS[0].15,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsSelBrnStop,Burner stop Hmi DI,,BmsSetBits[0].13,BMSSETBITS[0].13,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiStopRst,Burner stop/reset,,BmsStatBits[22].14,BMSSTATBITS[22].14,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,CabIntTmpPct,Cabinet internal temperature (%),,AiPct[60],AIPCT[60],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,BmsClrCritFail,Clear critical input failures Hmi DI,,BmsSetBits[1].1,BMSSETBITS[1].1,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,CombAirFlwBPct,Comb air diff pressure (%),,AiPct[6],AIPCT[6],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,CombAirFlwBAct,Comb air diff pressure active,,StatBits[70].6,STATBITS[70].6,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,CombAirFlwBMax,Comb air diff pressure max (in wc),,AiSclMax[6],AISCLMAX[6],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,CombAirFlwBMin,Comb air diff pressure min (in wc),,AiSclMin[6],AISCLMIN[6],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,CombAirFlwBRng,Comb air diff pressure range (in wc),,AiRng[6],AIRNG[6],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,CombAirFlwAPct,Comb air flow (%),,AiPct[7],AIPCT[7],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,CombAirFlwAAct,Comb air flow A active,,StatBits[70].7,STATBITS[70].7,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,CombAirFlwAMax,Comb air flow max (scfm),,AiSclMax[7],AISCLMAX[7],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,CombAirFlwAMin,Comb air flow min (scfm),,AiSclMin[7],AISCLMIN[7],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,CombAirFlwARng,Comb air flow range (scfm),,AiRng[7],AIRNG[7],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,CombAirInTmpPct,Comb air inlet temperature (%),,AiPct[8],AIPCT[8],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,CombAirInTmp,Comb air inlet temperature (deg F),,AiEu[8],AIEU[8],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,CombAirInTmpAct,Comb air inlet temperature active,,StatBits[70].8,STATBITS[70].8,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,CombAirInTmpMin,Comb air inlet temperature min (deg F),,AiSclMin[8],AISCLMIN[8],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,CombAirInTmpRng,Comb air inlet temperature range (deg F),,AiRng[8],AIRNG[8],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,CombAirPrsPct,Comb air pressure (%),,AiPct[11],AIPCT[11],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,CombAirPrsAct,Comb air pressure active,,StatBits[70].11,STATBITS[70].11,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,CombAirPrsMax,Comb air pressure max (in wc),,AiSclMax[11],AISCLMAX[11],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,CombAirPrsMin,Comb air pressure min (in wc),,AiSclMin[11],AISCLMIN[11],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,CombAirPrsRng,Comb air pressure range (in wc),,AiRng[11],AIRNG[11],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,CombAirInTmpMax,Comb Frn inlet temperature max (deg F),,AiSclMax[8],AISCLMAX[8],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,BmsCombAirLim,Combustion air limits,,BmsStatBits[45].13,BMSSTATBITS[45].13,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsCombAirPrsFail,Combustion air pressure failure,,BmsStatBits[45].12,BMSSTATBITS[45].12,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiCca,Combustion control alarm DI,,BmsStatBits[22].12,BMSSTATBITS[22].12,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiCcf,Combustion control system failure DI,,BmsStatBits[21].9,BMSSTATBITS[21].9,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,CombAirPhTmpPct,Combustion preheated air temperature (%),,AiPct[9],AIPCT[9],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,CombAirPhTmp,Combustion preheated air temperature (deg F),,AiEu[9],AIEU[9],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,CombAirPhTmpAct,combustion preheated air temperature active,,StatBits[70].9,STATBITS[70].9,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,CombAirPhTmpMax,Combustion preheated air temperature max (deg F),,AiSclMax[9],AISCLMAX[9],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,CombAirPhTmpMin,Combustion preheated air temperature min (deg F),,AiSclMin[9],AISCLMIN[9],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,CombAirPhTmpRng,Combustion preheated air temperature range (deg F),,AiRng[9],AIRNG[9],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,CbdFlwPct,Continuous blowdown flow (%),,AiPct[73],AIPCT[73],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,DoCbdVlv,Continuous Blowdown Valve,,StatBits[40].6,STATBITS[40].6,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsCritPwrOk,Critical input power OK,,BmsStatBits[40].3,BMSSTATBITS[40].3,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiCip,Critical input power sense DI,,BmsStatBits[22].11,BMSSTATBITS[22].11,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsCritInpValid,Critical input states are valid,,BmsStatBits[40].2,BMSSTATBITS[40].2,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,DoDaOvrFlwVlv,Da Overflow Valve,,StatBits[40].4,STATBITS[40].4,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,DaLvlRng,Deaerator level range (inches),,AiRng[57],AIRNG[57],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,DaPrsPct,De-aerator pegging steam pressure (%),,AiPct[56],AIPCT[56],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,DaPrsRng,Deaerator pressure range (psig),,AiRng[56],AIRNG[56],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,AoDaStmPcvPos,Deaerator steam PCV position (%),,Ao[13],AO[13],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,DaStmPcvPosAct,Deaerator steam PCV position active,,StatBits[75].13,STATBITS[75].13,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,DaLvlPct,De-aerator tank water level (%),,AiPct[57],AIPCT[57],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,AoDaWtrLcvPos,Deaerator water LCV position (%),,Ao[14],AO[14],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,DaWtrLcvPosAct,Deaerator water LCV position active,,StatBits[75].14,STATBITS[75].14,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,AirHtrInTmp,deg F,,AiEu[37],AIEU[37],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,CabIntTmp,deg F,,AiEu[60],AIEU[60],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,FdfTmpA,deg F,,AiEu[41],AIEU[41],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,FdfTmpB,deg F,,AiEu[42],AIEU[42],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,Fdw1TmpA,deg F,,AiEu[65],AIEU[65],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,Fdw1TmpB,deg F,,AiEu[66],AIEU[66],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,Fdw2TmpA,deg F,,AiEu[71],AIEU[71],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,FdwTmpEconIn,deg F,,AiEu[33],AIEU[33],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,FdwTmpEconOut,deg F,,AiEu[34],AIEU[34],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,FgBlrOutTmp,Deg F,,AiEu[29],AIEU[29],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,FgTmpEconIn,deg F,,AiEu[31],AIEU[31],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,FgTmpEconOut,deg F,,AiEu[32],AIEU[32],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,GasTmp,deg F,,AiEu[15],AIEU[15],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,OilTmp,deg F,,AiEu[18],AIEU[18],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,ShOutStmTmp,deg F,,AiEu[5],AIEU[5],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,StmOutTmp,deg F,,AiEu[4],AIEU[4],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,StmTmpShIn,deg F,,AiEu[10],AIEU[10],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,BmsGasSsovDnClsFail,Downstream gas shutoff valve close failure,,BmsStatBits[50].0,BMSSTATBITS[50].0,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiGvdc,Downstream gas shutoff valve closed,,BmsStatBits[21].12,BMSSTATBITS[21].12,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiGvdo,Downstream gas shutoff valve opened,,BmsStatBits[23].9,BMSSTATBITS[23].9,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoOilSsoVlvDn,Downstream oil shutoff valve,,BmsStatBits[31].4,BMSSTATBITS[31].4,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiOvdc,Downstream oil shutoff valve closed,,BmsStatBits[21].14,BMSSTATBITS[21].14,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiOvdo,Downstream oil shutoff valve opened,,BmsStatBits[23].11,BMSSTATBITS[23].11,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsPltSsovDnClsFail,Downstream pilot shutoff valve close failure,,BmsStatBits[50].7,BMSSTATBITS[50].7,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiPvdc,Downstream pilot shutoff valve closed,,BmsStatBits[23].7,BMSSTATBITS[23].7,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiPvdo,Downstream pilot shutoff valve opened,,BmsStatBits[23].13,BMSSTATBITS[23].13,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,DrmLvlAPct,Drum level (%),,AiPct[24],AIPCT[24],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,DrmLvlDp2Pct,Drum level 2 (%),,AiPct[58],AIPCT[58],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,DrmLvlDp3Pct,Drum level 3 (%),,AiPct[59],AIPCT[59],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,DrmLvlAAct,Drum level active,,StatBits[71].8,STATBITS[71].8,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,DrmLvlBPct,Drum level B (%),,AiPct[67],AIPCT[67],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,DrmLvlDp1Pct,Drum level dp (%),,AiPct[23],AIPCT[23],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,DrmLvlDp1Act,Drum level dp active,,StatBits[71].7,STATBITS[71].7,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,DrmLvlDp1Max,Drum level dp max (in wc),,AiSclMax[23],AISCLMAX[23],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,DrmLvlDp1Min,Drum level dp min (in wc),,AiSclMin[23],AISCLMIN[23],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,DrmLvlDp1Rng,Drum level dp range (in wc),,AiRng[23],AIRNG[23],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,DrmLvlAMax,Drum level max (in wc),,AiSclMax[24],AISCLMAX[24],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,DrmLvlAMin,Drum level min (in wc),,AiSclMin[24],AISCLMIN[24],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,DrmLvlARng,Drum level range (in wc),,AiRng[24],AIRNG[24],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,DrmModeStatus,"Drum Selected Mode $N(1EL, 3EL, or AUTO)",,StatBits[130],STATBITS[130],"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDualFuelAct,Dual fuel firing selected,,BmsStatBits[41].15,BMSSTATBITS[41].15,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiEmStop,Emergency stop DI,,BmsStatBits[22].15,BMSSTATBITS[22].15,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiEhsp,Excess high steam pressure DI,,BmsStatBits[20].6,BMSSTATBITS[20].6,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDoFdf,FD fan,,BmsStatBits[30].6,BMSSTATBITS[30].6,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsSelFdfAuto,FD fan auto select Hmi DI,,BmsSetBits[0].10,BMSSETBITS[0].10,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsFdfAutoAct,FD fan auto selected,,BmsStatBits[45].4,BMSSTATBITS[45].4,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,AoFddPos,FD fan discharge damper position (%),,Ao[3],AO[3],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,FddPosAct,FD fan discharge damper position active,,StatBits[75].3,STATBITS[75].3,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,FddPosFbPct,FD fan discharge damper position feedback (%),,AiPct[46],AIPCT[46],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,FddPosFbAct,FD fan discharge damper position feedback active,,StatBits[72].14,STATBITS[72].14,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,FddPosFbMax,FD fan discharge damper position feedback max (%),,AiSclMax[46],AISCLMAX[46],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,FddPosFbMin,FD fan discharge damper position feedback min (%),,AiSclMin[46],AISCLMIN[46],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,FddPosFbRng,FD fan discharge damper position feedback range (%),,AiRng[46],AIRNG[46],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,BmsFdfAutoRun,FD fan enable,,BmsStatBits[45].7,BMSSTATBITS[45].7,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,IbdPosFbPct,FD fan inlet box damper pos feedback (%),,AiPct[44],AIPCT[44],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,IbdPosFbAct,FD fan inlet box damper pos feedback active,,StatBits[72].12,STATBITS[72].12,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,IbdPosFbMax,FD fan inlet box damper pos feedback max (%),,AiSclMax[44],AISCLMAX[44],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,IbdPosFbMin,FD fan inlet box damper pos feedback min (%),,AiSclMin[44],AISCLMIN[44],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,IbdPosFbRng,FD fan inlet box damper pos feedback range (%),,AiRng[44],AIRNG[44],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,IvdPosFbPct,FD fan inlet vane damper pos feedback (%),,AiPct[45],AIPCT[45],"(RADIX := Float, ExternalAccess := Read/Write)"
